title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
LittleBigPlanet PS Vita,PlayStation Vita,9.0,2012,9,12,1298,Platform,Sony Computer Entertainment,0.4,0.72,0.02,0.33,1.47,88,71,8.6,348
NHL 13,Xbox 360,8.5,2012,9,11,3048,Sports,Electronic Arts,0.51,0.11,0.0,0.05,0.67,83,44,6.6,86
NHL 13,PlayStation 3,8.5,2012,9,11,3097,Sports,Electronic Arts,0.33,0.22,0.0,0.1,0.65,83,44,6.6,86
Guild Wars 2,PC,9.0,2012,9,11,693,Action,NCSoft,0.95,1.06,0.0,0.29,2.3,90,69,7.9,2954
Tekken Tag Tournament 2,PlayStation 3,7.5,2012,9,11,2372,Fighting,Namco Bandai Games,0.28,0.33,0.13,0.14,0.88,82,50,8.2,193
Tekken Tag Tournament 2,Xbox 360,7.5,2012,9,11,5283,Fighting,Namco Bandai Games,0.19,0.12,0.01,0.03,0.35,82,50,8.2,193
Way of the Samurai 4,PlayStation 3,5.5,2012,9,3,7571,Action,Nippon Ichi Software,0.0,0.03,0.16,0.01,0.2,58,25,6.5,15
Legasista,PlayStation 3,6.5,2012,8,28,13990,Role-Playing,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04,68,13,6.3,15
World of Warcraft: Mists of Pandaria,PC,8.7,2012,10,4,947,Role-Playing,Activision,0.84,0.76,0.0,0.23,1.83,82,42,4.8,1265
Resident Evil 6,PlayStation 3,7.9,2012,10,1,439,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15,74,34,5.4,1304
Resident Evil 6,Xbox 360,7.9,2012,10,1,859,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,74,34,5.4,1304
NBA 2K13,Xbox 360,9.1,2012,9,27,469,Sports,Take-Two Interactive,2.6,0.21,0.01,0.19,3.0,88,41,7.2,131
Madden NFL 13,PlayStation Vita,6.0,2012,8,24,5590,Sports,Electronic Arts,0.3,0.0,0.0,0.03,0.32,81,36,5.8,179
Madden NFL 13,PlayStation 3,9.0,2012,8,24,604,Sports,Electronic Arts,2.11,0.23,0.0,0.22,2.56,81,36,5.8,179
Madden NFL 13,PlayStation 3,9.0,2012,8,24,16130,Sports,Electronic Arts,0.0,0.01,0.0,0.0,0.01,81,36,5.8,179
Madden NFL 13,Xbox 360,9.0,2012,8,24,507,Sports,Electronic Arts,2.53,0.16,0.0,0.17,2.86,81,36,5.8,179
NBA 2K13,PlayStation 3,9.1,2012,9,27,624,Sports,Take-Two Interactive,1.72,0.44,0.05,0.27,2.48,88,41,7.2,131
NBA 2K13,PC,9.1,2012,9,27,14414,Sports,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,88,41,7.2,131
Dead or Alive 5,PlayStation 3,8.8,2012,9,25,3127,Fighting,Tecmo Koei,0.23,0.15,0.2,0.07,0.65,74,34,7.7,109
Dead or Alive 5,Xbox 360,8.8,2012,9,25,5593,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.02,0.32,74,34,7.7,109
Edna & Harvey: Harvey's New Eyes,PC,6.0,2012,10,26,11230,Adventure,Rondomedia,0.0,0.07,0.0,0.01,0.09,,,,
Transformers: Fall of Cybertron,Xbox 360,8.5,2012,8,21,4426,Action,Activision,0.28,0.13,0.0,0.04,0.44,79,52,8.3,160
Transformers: Fall of Cybertron,PlayStation 3,8.5,2012,8,21,4741,Action,Activision,0.19,0.15,0.0,0.07,0.41,79,52,8.3,160
Darksiders II,PC,7.5,2012,8,17,8700,Action,Nordic Games,0.03,0.1,0.0,0.03,0.16,84,39,7.1,422
Forza Horizon,Xbox 360,9.0,2012,10,12,845,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02,85,83,8.4,431
FIFA Soccer 13,PlayStation Vita,4.0,2012,10,12,4180,Action,Electronic Arts,0.0,0.3,0.05,0.12,0.47,88,37,6.6,348
Mugen Souls,PlayStation 3,3.9,2012,10,12,8658,Role-Playing,Nippon Ichi Software,0.04,0.03,0.08,0.01,0.16,55,24,7.3,35
Fable: The Journey,Xbox 360,7.2,2012,10,9,6043,Role-Playing,Microsoft Game Studios,0.18,0.09,0.0,0.02,0.29,61,70,4.8,80
Dokuro,PlayStation Vita,8.8,2012,10,19,16271,Action,GungHo,0.0,0.0,0.01,0.0,0.01,76,26,8,18
Skylanders Giants,PlayStation 3,8.0,2012,10,18,1891,Action,Activision,0.35,0.52,0.0,0.22,1.09,78,8,7,20
FIFA Soccer 13,PC,9.0,2012,9,20,4775,Action,Electronic Arts,0.02,0.31,0.0,0.07,0.41,88,37,6.6,348
FIFA Soccer 13,PlayStation 3,9.0,2012,9,20,83,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,88,37,6.6,348
FIFA Soccer 13,Xbox 360,9.0,2012,9,20,186,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,88,37,6.6,348
Sleeping Dogs,Xbox 360,8.5,2012,8,14,2358,Action,Square Enix,0.38,0.41,0.01,0.08,0.88,83,40,7.7,645
Sleeping Dogs,PlayStation 3,8.5,2012,8,14,1950,Action,Square Enix,0.31,0.5,0.05,0.19,1.06,83,40,7.7,645
Darksiders II,PlayStation 3,7.5,2012,8,14,2414,Action,THQ,0.35,0.37,0.01,0.14,0.86,84,39,7.1,422
