title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Zero Escape: Virtue's Last Reward,Nintendo 3DS,9.5,2012,10,23,14405,Adventure,Rising Star Games,0.03,0.0,0.0,0.0,0.03,88,15,8.8,188
Skylanders Giants,Wii,8.0,2012,10,18,572,Action,Activision,1.56,0.88,0.0,0.22,2.65,78,8,7,20
Code of Princess,Nintendo 3DS,6.9,2012,10,17,7631,Action,Agatsuma Entertainment,0.16,0.0,0.03,0.01,0.2,67,38,7.6,73
Angry Birds Trilogy,Nintendo 3DS,7.0,2012,10,6,3208,Action,Activision,0.38,0.2,0.0,0.05,0.63,62,7,4.6,20
Paper Mario: Sticker Star,Nintendo 3DS,8.3,2012,11,6,707,Role-Playing,Nintendo,1.12,0.39,0.64,0.12,2.27,75,69,5.6,382
Sing Party,Wii U,6.3,2012,12,18,6183,Misc,Nintendo,0.13,0.12,0.0,0.02,0.28,60,21,5.4,18
ZombiU,Wii U,6.3,2012,11,18,2031,Action,Ubisoft,0.53,0.36,0.05,0.08,1.02,77,70,7.7,758
Sonic & All-Stars Racing Transformed,Nintendo 3DS,7.0,2012,12,17,6068,Racing,Sega,0.12,0.15,0.0,0.02,0.29,,,,
Tank! Tank! Tank!,Wii U,5.8,2012,12,14,12065,Action,Namco Bandai Games,0.02,0.01,0.05,0.0,0.07,,,,
Darksiders II,Wii U,7.5,2012,11,17,8648,Action,THQ,0.07,0.07,0.0,0.01,0.16,84,39,7.1,422
New Super Mario Bros. U,Wii U,9.1,2012,11,15,184,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19,84,70,8.1,733
Nintendo Land,Wii U,8.7,2012,11,15,247,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44,77,61,7.9,471
Madden NFL 13,Wii,8.3,2012,11,21,3732,Sports,Electronic Arts,0.51,0.0,0.0,0.03,0.54,81,36,5.8,179
Warriors Orochi 3 Hyper,Wii U,7.0,2012,11,29,11313,Action,Tecmo Koei,0.04,0.02,0.02,0.01,0.08,64,18,7.4,31
FIFA Soccer 13,Wii U,6.0,2012,11,27,4120,Action,Electronic Arts,0.18,0.26,0.0,0.04,0.48,88,37,6.6,348
Just Dance 4,Wii U,5.3,2012,12,10,4945,Misc,Ubisoft,0.22,0.14,0.0,0.03,0.39,74,10,7.3,28
Call of Duty: Black Ops II,Wii U,9.3,2012,11,21,4556,Shooter,Activision,0.21,0.18,0.0,0.03,0.43,83,21,5.3,922
Rabbids Land,Wii U,5.0,2012,11,21,13917,Misc,Ubisoft,0.02,0.01,0.0,0.0,0.04,52,26,5.2,29
Madden NFL 13,Wii U,8.3,2012,11,21,6794,Sports,Electronic Arts,0.22,0.0,0.0,0.02,0.24,81,36,5.8,179
Assassin's Creed III,Wii U,8.5,2012,11,20,5201,Action,Ubisoft,0.19,0.13,0.0,0.03,0.36,85,41,6.9,1307
Sonic & All-Stars Racing Transformed,Wii U,8.8,2012,11,30,3795,Racing,Sega,0.2,0.27,0.02,0.05,0.53,,,,
NBA 2K13,Wii U,9.1,2012,11,20,9228,Sports,Take-Two Interactive,0.08,0.04,0.0,0.01,0.14,88,41,7.2,131
Mortal Kombat Trilogy,Nintendo 64,4.1,1996,11,20,2159,Fighting,GT Interactive,0.72,0.22,0.0,0.02,0.96,,,,
Wave Race 64,Nintendo 64,9.7,1996,11,15,485,Racing,Nintendo,1.98,0.58,0.34,0.04,2.94,,,,
Cruis'n USA,Nintendo 64,4.0,1996,11,14,1022,Racing,Nintendo,1.69,0.04,0.0,0.01,1.74,,,,
Pilotwings 64,Nintendo 64,8.2,1996,9,25,1821,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12,,,,
Super Mario 64,Nintendo 64,9.8,1996,9,25,47,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,,,,
Mario Kart 64,Nintendo 64,8.1,1997,2,20,64,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,
Doom 64,Nintendo 64,7.4,1997,1,28,4192,Shooter,Midway Games,0.38,0.08,0.0,0.01,0.47,,,,
FIFA Soccer 64,Nintendo 64,4.2,1997,4,1,4047,Sports,Electronic Arts,0.16,0.3,0.0,0.03,0.49,,,,
Blast Corps,Nintendo 64,9.0,1997,3,26,2887,Action,Nintendo,0.39,0.09,0.17,0.06,0.71,,,,
Turok: Dinosaur Hunter,Nintendo 64,8.6,1997,3,11,13365,Shooter,Acclaim Entertainment,0.0,0.0,0.05,0.0,0.05,,,,
Star Wars: Shadows of the Empire,Nintendo 64,6.5,1996,12,9,575,Action,Nintendo,2.0,0.5,0.12,0.03,2.65,,,,
Wayne Gretzky's 3D Hockey,Nintendo 64,7.1,1996,12,5,3821,Sports,Nintendo,0.49,0.03,0.0,0.0,0.53,,,,
Killer Instinct Gold,Nintendo 64,6.5,1996,12,4,2516,Fighting,Nintendo,0.61,0.19,0.0,0.01,0.82,,,,
War Gods,Nintendo 64,4.3,1997,5,29,6032,Fighting,Midway Games,0.23,0.06,0.0,0.0,0.29,,,,
Star Fox 64,Nintendo 64,8.7,1997,5,16,297,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,,,,
GoldenEye 007,Nintendo 64,9.7,1997,8,25,85,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,
Tetrisphere,Nintendo 64,8.0,1997,8,13,5208,Puzzle,Nintendo,0.29,0.06,0.0,0.0,0.36,,,,
Duke Nukem 64,Nintendo 64,8.0,1997,11,14,4454,Shooter,GT Interactive,0.35,0.08,0.0,0.01,0.44,,,,
Dark Rift,Nintendo 64,5.4,1997,7,10,8866,Fighting,Vic Tokai,0.12,0.03,0.0,0.0,0.15,,,,
F1 Pole Position 64,Nintendo 64,4.1,1997,10,24,6691,Racing,Ubisoft,0.11,0.13,0.0,0.01,0.25,,,,
Madden Football 64,Nintendo 64,7.8,1997,10,24,2421,Sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86,,,,
San Francisco Rush: Extreme Racing,Nintendo 64,8.9,1997,11,7,2744,Racing,GT Interactive,0.63,0.11,0.0,0.01,0.75,,,,
Hexen,Nintendo 64,3.7,1997,6,26,7861,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,,,,
Mortal Kombat Mythologies: Sub-Zero,Nintendo 64,3.0,1997,12,8,4831,Fighting,Midway Games,0.32,0.07,0.0,0.0,0.4,,,,
Automobili Lamborghini,Nintendo 64,7.0,1997,12,3,4189,Racing,Titus,0.28,0.17,0.0,0.01,0.47,,,,
ClayFighter 63 1/3,Nintendo 64,3.7,1997,10,21,7413,Fighting,Interplay,0.17,0.04,0.0,0.0,0.21,,,,
Quake,Nintendo 64,8.0,1998,3,24,7866,Shooter,GT Interactive,0.15,0.04,0.0,0.0,0.19,,,,
Snowboard Kids,Nintendo 64,8.0,1998,3,16,7626,Sports,Atlus,0.16,0.04,0.0,0.0,0.2,,,,
Fighters Destiny,Nintendo 64,8.0,1998,1,27,8583,Fighting,Ocean,0.13,0.03,0.0,0.0,0.16,,,,
International Superstar Soccer 64,Nintendo 64,9.0,1997,9,3,3363,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6,,,,
Bomberman 64,Nintendo 64,7.6,1997,12,2,2003,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04,,,,
AeroFighters Assault,Nintendo 64,5.0,1997,12,1,7863,Action,Video System,0.15,0.04,0.0,0.0,0.19,,,,
Diddy Kong Racing,Nintendo 64,8.4,1997,11,24,214,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,,,,
Mace: The Dark Age,Nintendo 64,7.1,1997,10,3,7862,Fighting,GT Interactive,0.15,0.04,0.0,0.0,0.19,,,,
Top Gear Rally,Nintendo 64,8.4,1997,10,3,4829,Racing,Kemco,0.32,0.07,0.0,0.0,0.4,,,,
Yoshi's Story,Nintendo 64,7.0,1998,3,11,511,Platform,Nintendo,1.29,0.53,0.98,0.05,2.85,,,,
Extreme-G,Nintendo 64,7.9,1997,10,24,3414,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59,,,,
Mischief Makers,Nintendo 64,6.2,1997,10,1,4534,Platform,Nintendo,0.25,0.06,0.07,0.06,0.43,,,,
Wayne Gretzky's 3D Hockey '98,Nintendo 64,5.8,1998,2,25,6693,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25,,,,
Robotron 64,Nintendo 64,6.9,1998,1,5,11051,Shooter,GT Interactive,0.07,0.02,0.0,0.0,0.09,,,,
Chameleon Twist,Nintendo 64,6.5,1997,12,15,10221,Platform,Sunsoft,0.09,0.02,0.0,0.0,0.11,,,,
Wetrix,Nintendo 64,8.4,1998,6,15,11480,Puzzle,Ocean,0.06,0.02,0.0,0.0,0.08,,,,
Quest 64,Nintendo 64,5.9,1998,6,11,4190,Role-Playing,Konami Digital Entertainment,0.38,0.08,0.0,0.01,0.47,,,,
Bust-A-Move 2 Arcade Edition,Nintendo 64,8.0,1998,5,22,11477,Puzzle,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08,,,,
Aero Gauge,Nintendo 64,5.2,1998,5,21,11983,Racing,ASCII Entertainment,0.06,0.01,0.0,0.0,0.07,,,,
World Cup 98,Nintendo 64,8.8,1998,5,20,3468,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58,,,,
Kobe Bryant in NBA Courtside,Nintendo 64,7.8,1998,4,27,1696,Sports,Nintendo,1.02,0.13,0.04,0.01,1.19,,,,
F-1 World Grand Prix,Nintendo 64,8.3,1998,7,27,1154,Racing,Video System,0.46,0.96,0.09,0.08,1.6,,,,
Mission: Impossible,Nintendo 64,6.6,1998,7,20,1730,Action,Ocean,0.74,0.38,0.02,0.03,1.17,,,,
Banjo-Kazooie,Nintendo 64,9.6,1998,6,30,342,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65,,,,
Mortal Kombat 4,Nintendo 64,8.8,1998,6,24,2801,Fighting,GT Interactive,0.55,0.17,0.0,0.01,0.73,,,,
Chopper Attack,Nintendo 64,5.6,1998,6,17,10223,Action,GT Interactive,0.09,0.02,0.0,0.0,0.11,,,,
Virtual Chess 64,Nintendo 64,7.7,1998,6,17,12512,Misc,Titus,0.05,0.01,0.0,0.0,0.06,,,,
NASCAR 99,Nintendo 64,7.0,1998,10,21,2114,Racing,Electronic Arts,0.94,0.04,0.0,0.01,0.98,,,,
Deadly Arts,Nintendo 64,3.2,1998,10,19,13746,Fighting,Konami Digital Entertainment,0.03,0.01,0.0,0.0,0.04,,,,
Gex 64: Enter the Gecko,Nintendo 64,5.7,1998,9,10,6692,Action,GT Interactive,0.2,0.05,0.0,0.0,0.25,,,,
F-Zero X,Nintendo 64,9.1,1998,10,27,1862,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1,,,,
Iggy's Reckin' Balls,Nintendo 64,6.9,1998,9,10,11483,Racing,Acclaim Entertainment,0.06,0.02,0.0,0.0,0.08,,,,
Space Station Silicon Valley,Nintendo 64,9.5,1998,10,23,8865,Adventure,Take-Two Interactive,0.12,0.03,0.0,0.0,0.15,,,,
Cruis'n World,Nintendo 64,6.5,1998,10,8,3176,Racing,Nintendo,0.59,0.04,0.0,0.01,0.64,,,,
Body Harvest,Nintendo 64,8.4,1998,10,22,7623,Shooter,Gremlin Interactive Ltd,0.16,0.04,0.0,0.0,0.2,,,,
Bomberman Hero,Nintendo 64,6.0,1998,9,16,4188,Platform,Nintendo,0.27,0.06,0.08,0.05,0.47,,,,
Rush 2: Extreme Racing USA,Nintendo 64,8.9,1998,11,11,4623,Racing,Midway Games,0.35,0.06,0.0,0.0,0.42,,,,
