title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
NHL 13,Xbox 360,8.5,2012,9,11,3048,Sports,Electronic Arts,0.51,0.11,0.0,0.05,0.67,83,44,6.6,86
Tekken Tag Tournament 2,Xbox 360,7.5,2012,9,11,5283,Fighting,Namco Bandai Games,0.19,0.12,0.01,0.03,0.35,82,50,8.2,193
Resident Evil 6,Xbox 360,7.9,2012,10,1,859,Shooter,Capcom,1.11,0.63,0.07,0.16,1.98,74,34,5.4,1304
NBA 2K13,Xbox 360,9.1,2012,9,27,469,Sports,Take-Two Interactive,2.6,0.21,0.01,0.19,3.0,88,41,7.2,131
Madden NFL 13,Xbox 360,9.0,2012,8,24,507,Sports,Electronic Arts,2.53,0.16,0.0,0.17,2.86,81,36,5.8,179
Dead or Alive 5,Xbox 360,8.8,2012,9,25,5593,Fighting,Ubisoft Annecy,0.19,0.08,0.03,0.02,0.32,74,34,7.7,109
Transformers: Fall of Cybertron,Xbox 360,8.5,2012,8,21,4426,Action,Activision,0.28,0.13,0.0,0.04,0.44,79,52,8.3,160
Forza Horizon,Xbox 360,9.0,2012,10,12,845,Racing,Microsoft Game Studios,0.82,0.98,0.04,0.18,2.02,85,83,8.4,431
Fable: The Journey,Xbox 360,7.2,2012,10,9,6043,Role-Playing,Microsoft Game Studios,0.18,0.09,0.0,0.02,0.29,61,70,4.8,80
FIFA Soccer 13,Xbox 360,9.0,2012,9,20,186,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18,88,37,6.6,348
Sleeping Dogs,Xbox 360,8.5,2012,8,14,2358,Action,Square Enix,0.38,0.41,0.01,0.08,0.88,83,40,7.7,645
XCOM: Enemy Unknown,Xbox 360,8.2,2012,10,8,3149,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64,89,57,8.2,2235
Skylanders Giants,Xbox 360,8.0,2012,10,18,1499,Action,Activision,0.75,0.45,0.0,0.11,1.32,78,8,7,20
Pro Evolution Soccer 2013,Xbox 360,8.5,2012,9,17,5743,Sports,Konami Digital Entertainment,0.08,0.2,0.0,0.03,0.31,82,37,6.7,146
Darksiders II,Xbox 360,7.5,2012,8,14,2584,Action,THQ,0.45,0.28,0.0,0.07,0.8,84,39,7.1,422
Dishonored,Xbox 360,9.2,2012,10,7,1033,Action,Bethesda Softworks,1.06,0.52,0.01,0.14,1.73,88,56,7.9,815
Angry Birds Trilogy,Xbox 360,7.0,2012,10,6,6437,Action,Activision,0.18,0.06,0.0,0.02,0.27,62,7,4.6,20
Dance Central 3,Xbox 360,8.0,2012,10,15,2491,Misc,Microsoft Game Studios,0.57,0.2,0.0,0.06,0.83,86,43,8,45
F1 2012,Xbox 360,9.0,2012,9,17,3950,Racing,Codemasters,0.1,0.35,0.0,0.06,0.5,81,23,7.5,54
Borderlands 2,Xbox 360,9.0,2012,9,13,454,Shooter,Take-Two Interactive,1.89,0.91,0.04,0.24,3.07,89,59,8.2,892
Halo 4,Xbox 360,9.8,2012,11,1,66,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,87,87,7,3260
Zone of the Enders HD Collection,Xbox 360,7.0,2012,11,1,7603,Simulation,Konami Digital Entertainment,0.14,0.04,0.01,0.02,0.2,73,27,8,42
Assassin's Creed III,Xbox 360,8.5,2012,10,30,173,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3,85,41,6.9,1307
WWE '13,Xbox 360,8.4,2012,10,29,1547,Action,THQ,0.72,0.45,0.0,0.11,1.28,76,24,8.1,99
F1 Race Stars,Xbox 360,5.2,2012,11,13,6105,Racing,Codemasters,0.07,0.18,0.0,0.03,0.29,61,27,5.6,34
Call of Duty: Black Ops II,Xbox 360,9.3,2012,11,13,36,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,83,21,5.3,922
Hitman: Absolution,Xbox 360,9.0,2012,11,18,999,Action,Square Enix,0.68,0.9,0.01,0.17,1.76,83,30,7.5,511
Sonic & All-Stars Racing Transformed,Xbox 360,8.6,2012,11,15,3224,Racing,Sega,0.2,0.37,0.0,0.06,0.63,,,,
Family Guy: Back to the Multiverse,Xbox 360,6.0,2012,11,27,6652,Action,Activision,0.14,0.09,0.0,0.02,0.25,40,9,6.4,31
LEGO The Lord of the Rings,Xbox 360,6.8,2012,11,26,1582,Action,Warner Bros. Interactive Entertainment,0.63,0.51,0.0,0.11,1.26,80,49,8.5,73
DmC: Devil May Cry,Xbox 360,8.9,2013,1,14,4431,Action,Capcom,0.26,0.13,0.01,0.04,0.44,85,40,5.3,1471
Anarchy Reigns,Xbox 360,5.9,2013,1,11,8454,Action,Sega,0.11,0.02,0.02,0.01,0.17,71,35,8.2,106
Far Cry 3,Xbox 360,9.0,2012,11,21,460,Shooter,Ubisoft,1.38,1.35,0.02,0.28,3.04,90,32,8.5,1041
Cel Damage,Xbox,6.5,2001,11,6,9787,Racing,Electronic Arts,0.09,0.03,0.0,0.0,0.12,65,24,8.4,7
Dead or Alive 3,Xbox,9.4,2001,11,12,987,Fighting,Microsoft Game Studios,1.19,0.29,0.24,0.06,1.77,87,35,8.6,44
Dave Mirra Freestyle BMX 2,Xbox,6.9,2001,11,12,7671,Sports,Acclaim Entertainment,0.15,0.04,0.0,0.01,0.2,81,21,8.1,18
